drugName_clean,n_reviews,patient_mean,patient_expected,patient_std,pct_high,pct_none,drug_name,log_reports,serious_rate,death_rate,hosp_rate,lifethreat_rate,disability_rate,no_faers,faers_severity,patient_z,faers_z,divergence_z,flag
abilify,591,1.2351945854483926,1.3079773215534436,0.6785294563418482,0.19627749576988154,0.34686971235194586,abilify,11.694638503321052,0.6658382192272086,0.0558177542818071,0.2939562730350383,0.0443023197638543,0.0365725530743958,0,0.4635899995306494,0.6746373320478556,0.06720012678838491,0.6074372052594706,agreement
abreva,205,1.1073170731707318,1.1689238653679106,0.42645193414085775,0.06341463414634146,0.16585365853658537,abreva,9.583282288378786,0.0191631626111532,0.0006198774020249,0.009091535229699,0.0004821268682416,0.0003443763344582,0,0.01154135872893438,0.1163628559443379,-2.411387231026448,2.527750086970786,patient-worse-than-FAERS
acamprosate,143,0.35664335664335667,0.6598019737322584,0.4560887418512112,0.04195804195804196,0.7972027972027972,acamprosate,5.749392985908253,0.8466453674121406,0.108626198083067,0.4600638977635782,0.0287539936102236,0.0,0,0.6156549520766772,-1.927669454525459,0.9009738292794447,-2.8286432838049036,FAERS-worse-than-patient
acanya,55,1.0363636363636364,1.1730972352088842,0.4359889573115717,0.05454545454545454,0.21818181818181817,acanya,4.890349128221754,0.2954545454545454,0.0227272727272727,0.0757575757575757,0.0,0.0151515151515151,0,0.15984848484848474,0.13311818102196196,-1.5982177295722744,1.7313359105942363,agreement
accutane,439,1.6469248291571754,1.6211095425914657,0.5211223089872411,0.19134396355353075,0.12300683371298406,accutane,10.263153020397368,0.6493560883677102,0.024357900614182,0.1288735343383584,0.0167853154662199,0.0332914572864321,0,0.32033376676715264,1.9318065635546675,-0.7182752743234395,2.650081837878107,patient-worse-than-FAERS
acetaminophen,39,0.48717948717948717,0.818502314857181,0.4809574571967917,0.10256410256410256,0.717948717948718,acetaminophen,13.412432598348609,0.7127890854971387,0.1509085549165817,0.2922100562805738,0.0427977775084211,0.0375303587381539,0,0.5713597818294548,-1.2905162889058084,0.6581029541623158,-1.9486192430681242,agreement
acetazolamide,93,1.1827956989247312,1.2786324276337349,0.7483694172765325,0.23655913978494625,0.3763440860215054,acetazolamide,8.676075516476429,0.8057689025430961,0.0790102389078498,0.3549488054607508,0.065358361774744,0.024914675767918,0,0.5679422748584918,0.5568228905464503,0.6393647282084666,-0.08254183766201628,agreement
aciphex,43,0.37209302325581395,0.7765548801330429,0.613070891367594,0.06976744186046512,0.7906976744186046,aciphex,10.201553030367595,0.8067629263947144,0.124480403800475,0.3203310570071259,0.0423099762470308,0.0321407363420427,0,0.5830213066595068,-1.4589276523260664,0.7220432150274935,-2.18097086735356,FAERS-worse-than-patient
acyclovir,136,0.5808823529411765,0.7654937660390645,0.5515174248235782,0.07352941176470588,0.6176470588235294,acyclovir,11.63413373890572,0.7256833314124104,0.1276254595384683,0.3711919209815298,0.0542410417681711,0.0173007928422731,0,0.5864298078570844,-1.5033360247990077,0.7407320622330276,-2.2440680870320353,FAERS-worse-than-patient
aczone,168,1.0,1.1325260501965548,0.45339264248829364,0.05357142857142857,0.27976190476190477,aczone,9.248406572782638,0.7560670261941448,0.088187157023202,0.3614133050929046,0.0620968518340232,0.0196399345335515,0,0.5591393530686024,-0.02976778872650904,0.5910982172826587,-0.6208660060091677,agreement
adalimumab,382,0.581151832460733,0.7436637047673633,0.6026126283680019,0.09162303664921466,0.6727748691099477,adalimumab,13.481984178043346,0.5140651001239683,0.0429680956794604,0.2119984589442651,0.0173913164859462,0.0237746931847368,0,0.3337421936068562,-1.5909797724201087,-0.6447567317300288,-0.9462230406900799,agreement
adapalene,238,1.2436974789915967,1.2931387692757088,0.3801006580675189,0.046218487394957986,0.09663865546218488,adapalene,12.113716099452022,0.0085273698410783,0.0001919333168819,0.002511584546626,0.0003399961613336,0.0003180609251185,0,0.00450057611916822,0.6150632284891919,-2.4499919146612426,3.0650551431504347,patient-worse-than-FAERS
adderall,262,1.1603053435114503,1.2157084547389982,0.4290747189565582,0.061068702290076333,0.2099236641221374,adderall,10.609748372241455,0.4357511545775604,0.0122881042268117,0.1184642337207294,0.0125101783995854,0.024132060108076,0,0.22914615225576607,0.304194520380015,-1.2182579047686315,1.5224524251486464,agreement
adderall xr,146,1.1027397260273972,1.1722719720643648,0.4451954370544471,0.04794520547945205,0.21232876712328766,adderall xr,10.609723697637792,0.4357372190664361,0.0122884074421359,0.1184671568869367,0.0125104870947046,0.0241326555791343,0,0.22914440018669274,0.12980489876136597,-1.218267511381423,1.348072410142789,agreement
advair diskus,75,0.5733333333333334,0.8146614468863486,0.5022256155065403,0.04,0.5866666666666667,advair diskus,10.518808317631567,0.416441392733564,0.0514809209815155,0.2319478975245919,0.0103502324073073,0.010539401145822,0,0.3080450542918019,-1.3059366791141485,-0.7856544115136475,-0.520282267600501,agreement
afrezza,54,0.2962962962962963,0.775731299801941,0.3783220300935567,0.018518518518518517,0.8333333333333334,afrezza,8.950532836290382,0.6992607962650759,0.0990792374529892,0.3911295551809104,0.0741797432239657,0.0354039683568927,0,0.5885488263519646,-1.46223417839516,0.7523506624860247,-2.2145848408811846,FAERS-worse-than-patient
afrin,40,0.75,1.0270896043330164,0.5064611902427983,0.1,0.55,afrin,8.301769763117166,0.6013899230578307,0.03424317617866,0.1446650124069479,0.0178660049627791,0.0183622828784119,0,0.3141390612845948,-0.453076048667536,-0.752240908347299,0.299164859679763,agreement
aftera,74,0.8648648648648649,1.0858047647277151,0.5098119662387458,0.08108108108108109,0.40540540540540543,aftera,8.308691916838898,0.6015779092702169,0.0135534746180384,0.1567274519467718,0.0320354854608181,0.0246426811237062,0,0.3152688385277382,-0.217345299444384,-0.7460463280759462,0.5287010286315622,agreement
albuterol,106,0.27358490566037735,0.5524444757828976,0.4126701469755812,0.02830188679245283,0.8113207547169812,albuterol,12.582723241011214,0.5683024259889606,0.0635931356740474,0.285836323839192,0.0321705240189654,0.0251854342351738,0,0.42036824857012556,-2.3586903911319914,-0.16978517931358855,-2.188905211818403,FAERS-worse-than-patient
aleve,86,0.7558139534883721,0.9366617472205947,0.5356990387502024,0.08139534883720931,0.46511627906976744,aleve,11.498603391962671,0.5099228896103896,0.0881950150643659,0.2246162898039096,0.0810635340901021,0.0868762490236059,0,0.4791442284380434,-0.8161275393636246,0.15248412424063104,-0.9686116636042557,agreement
alfuzosin,46,0.6739130434782609,0.9861260279685845,0.6258581514484867,0.043478260869565216,0.5217391304347826,alfuzosin,8.63817111796914,0.6748270356572645,0.0806451612903225,0.3598014888337469,0.0455512229705778,0.0235732009925558,0,0.5159362354756266,-0.6175373987232057,0.35421507812704783,-0.9717524768502535,agreement
